provider,type,corridor_from,corridor_to,commission_amount,commission_currency,fx_margin_percent,total_cost_percent,speed_display,speed_hours_approx,affiliate_status,data_source
Chaabi Cash,MTO,FR,MA,0,EUR,2.5,2.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,FR,MA,1.99,EUR,1.65,2.77,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,MX,0,USD,0,0,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,MX,0,USD,0,0,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,MX,0,USD,0,0,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,MX,1.99,USD,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Ria,MTO,US,MX,0,USD,1.8,1.8,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,IN,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,IN,0,USD,2.5,2.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,IN,0,USD,1.45,1.45,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,IN,1.99,USD,3,3.99,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Ria,MTO,US,IN,2.9,USD,0,1.45,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Xoom (PayPal),MTO,US,IN,4.99,USD,0.5,2.5,mismo día,12,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,PH,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,PH,0,USD,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,PH,0,USD,2,2,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,PH,3.99,USD,0.8,2.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Kabayan Remit,MTO,US,PH,4,USD,0,2,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,US,PH,1.99,USD,2.8,3.8,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,CN,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,CN,0,USD,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,CN,0,USD,1.2,1.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,CN,2.99,USD,3,4.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,IN,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,GB,IN,0,GBP,1.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,GB,IN,0,GBP,1.1,1.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,IN,0.99,GBP,2.2,3.02,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Ria,MTO,GB,IN,1.99,GBP,0,1.66,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,IT,SN,0,EUR,0,0,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,IT,SN,1.9,EUR,1.5,2.56,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Ria,MTO,IT,SN,2.9,EUR,0.5,2.11,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Small World,MTO,IT,SN,3.9,EUR,0,2.17,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,SA,EG,0,SAR,0.35,0.35,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,SA,EG,15,SAR,1.2,3.2,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,SA,EG,10,SAR,0.9,2.25,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,SA,EG,12,SAR,0,1.6,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,GT,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,GT,0,USD,1,1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,GT,0,USD,1.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,GT,1.99,USD,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,SV,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,SV,0,USD,1.2,1.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,SV,0,USD,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,SV,1.99,USD,2.3,3.3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,DO,2.5,USD,0,1.25,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,DO,0,USD,1.3,1.3,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,DO,0,USD,1.1,1.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,DO,1.99,USD,2.4,3.4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,PE,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,PE,0,USD,1.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,PE,2.99,USD,0.9,2.4,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,PE,1.99,USD,2.6,3.6,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,EC,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,EC,0,USD,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,EC,2.99,USD,1,2.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,EC,1.99,USD,2.7,3.7,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,HN,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,HN,0,USD,1.4,1.4,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,HN,0,USD,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,HN,1.99,USD,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,NI,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,NI,0,USD,1.6,1.6,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,NI,0,USD,1.9,1.9,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,NI,1.99,USD,2.8,3.8,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,PK,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,PK,0,USD,1.9,1.9,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,PK,0,USD,1.4,1.4,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,PK,1.99,USD,3.1,4.1,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,BD,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,BD,0,USD,2.1,2.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,BD,0,USD,1.6,1.6,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,BD,1.99,USD,3.3,4.3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,KE,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,KE,0,USD,1.3,1.3,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,KE,0,USD,1.2,1.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,KE,1.99,USD,2.9,3.9,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,GH,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,GH,0,USD,1.5,1.5,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,GH,0,USD,1,1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,GH,1.99,USD,2.7,3.7,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,IN,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,CA,IN,0,CAD,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,IN,4.99,CAD,0.8,2.65,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,CA,IN,5,CAD,3,4.85,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,PH,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,AU,PH,0,AUD,2.2,2.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,AU,PH,2.99,AUD,1.5,2.53,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,PH,5,AUD,3.1,4.83,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ES,DO,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,ES,DO,0,EUR,1.6,1.6,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,ES,DO,2.9,EUR,0,1.61,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,ES,DO,1.9,EUR,1.8,2.86,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ES,MA,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,ES,MA,2.9,EUR,0.5,2.11,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,ES,MA,1.9,EUR,1.7,2.76,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Small World,MTO,ES,MA,3.9,EUR,0,2.17,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,FR,SN,1.63,EUR,0,0.91,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,FR,SN,1.99,EUR,1.2,2.31,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,FR,SN,0.9,EUR,1.6,2.4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,IT,MA,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,IT,MA,2.9,EUR,0.6,2.21,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,IT,MA,1.9,EUR,1.9,2.96,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,DE,TR,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,DE,TR,0,EUR,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,DE,TR,1.9,EUR,2,3.06,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,DE,TR,0,EUR,1.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,EG,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,EG,1.99,USD,2.8,3.8,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,US,EG,0,USD,1.9,1.9,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,SA,IN,0,SAR,0.45,0.45,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,SA,IN,0,SAR,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,SA,IN,10,SAR,0.8,2.05,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,SA,IN,12,SAR,1.5,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AE,PK,7,AED,0.5,1.45,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,AE,PK,5,AED,1.6,2.28,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AE,PK,7.88,AED,0.9,1.97,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,AE,PK,10.5,AED,0.7,2.13,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,BR,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,BR,0,USD,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,BR,1.99,USD,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,US,BR,0,USD,1.7,1.7,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,CO,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,CO,0,USD,1.4,1.4,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,CO,0,USD,1.2,1.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,CO,1.99,USD,2.3,3.3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,PK,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,GB,PK,0,GBP,1.9,1.9,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,GB,PK,0,GBP,1.2,1.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,PK,0.99,GBP,2.4,3.22,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,KE,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,KE,0,GBP,1.1,1.1,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,GB,KE,0,GBP,0.9,0.9,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,KE,0.99,GBP,2.6,3.42,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,PH,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,GB,PH,0,GBP,1.7,1.7,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,PH,0,GBP,1.4,1.4,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,PH,0.99,GBP,2.5,3.32,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AE,PH,7,AED,0.55,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,AE,PH,5,AED,1.5,2.18,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,AE,PH,10.5,AED,0.65,2.08,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AE,PH,7.88,AED,1,2.07,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,PK,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,CA,PK,0,CAD,2.1,2.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,PK,4.99,CAD,0.9,2.75,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,CA,PK,5,CAD,3.2,5.05,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,JP,CN,400,JPY,0,1.4,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,JP,CN,0,JPY,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,JP,CN,500,JPY,0.8,2.35,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,JP,PH,400,JPY,0,1.4,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,JP,PH,0,JPY,2.5,2.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,JP,PH,500,JPY,3,4.05,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,DE,RO,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,DE,RO,0,EUR,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,DE,RO,1.9,EUR,2,3.06,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,DE,PL,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,DE,PL,1.9,EUR,1.8,2.86,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Small World,MTO,DE,PL,2.9,EUR,0.6,2.21,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,UA,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,UA,1.99,USD,2.6,3.6,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,US,UA,0,USD,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,IT,RO,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,IT,RO,1.9,EUR,1.8,2.86,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Ria,MTO,IT,RO,2.9,EUR,0.5,2.11,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,BD,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,GB,BD,0,GBP,2.2,2.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,GB,BD,0,GBP,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,BD,0.99,GBP,3.1,4.92,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,BD,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,CA,BD,0,CAD,2.3,2.3,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,BD,4.99,CAD,1,2.85,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,CA,BD,5,CAD,3.4,5.25,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,BD,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,AU,BD,0,AUD,2.6,2.6,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,AU,BD,5.99,AUD,1.2,3.27,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,BD,5,AUD,3.5,5.17,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,TH,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,TH,0,USD,1.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,TH,0,USD,1.6,1.6,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,TH,1.99,USD,2.4,3.4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,TH,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,GB,TH,0,GBP,1.9,1.9,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,GB,TH,0,GBP,1.7,1.7,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,TH,0.99,GBP,2.6,3.42,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,CN,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
